id_participant,task_type,numero_sequence,time_beginning,time_ending
1573-1-1-3,Perception,12,1749491501.8604934,1749491515.4168494
1573-1-1-3,Reproduction,11,1749491624.4515238,1749491638.0078795
1573-1-1-3,Reproduction,15,1749491642.628818,1749491656.185174
1573-1-1-3,Reproduction,5,1749491669.2477365,1749491682.8040924
1573-1-1-3,Reproduction,14,1749491686.9793844,1749491700.5357404
1573-1-1-3,Reproduction,24,1749491703.521742,1749491717.078098
1573-1-1-3,Reproduction,3,1749491721.1059413,1749491734.6622972
1573-1-1-3,Reproduction,20,1749491741.1670182,1749491754.723374
1573-1-1-3,Reproduction,12,1749491758.353301,1749491771.909657
1573-1-1-3,Reproduction,2,1749491775.791314,1749491789.3476698
1573-1-1-3,Reproduction,18,1749491792.752055,1749491806.308411
1573-1-1-3,Reproduction,6,1749491821.824479,1749491835.380835
1573-1-1-3,Reproduction,1,1749491839.499714,1749491853.05607
1573-1-1-3,Reproduction,9,1749491855.7133875,1749491869.2697434
1573-1-1-3,Reproduction,4,1749491873.184424,1749491886.74078
1573-1-1-3,Reproduction,10,1749491890.4249277,1749491903.9812837
1573-1-1-3,Reproduction,17,1749491920.6134691,1749491934.169825
1573-1-1-3,Reproduction,25,1749491997.5637972,1749492011.1201532
1573-1-1-3,Reproduction,22,1749492042.6618202,1749492056.218176
1573-1-1-3,Reproduction,23,1749492060.4197507,1749492073.9761066
1573-1-1-3,Reproduction,8,1749492078.718235,1749492092.274591
1573-1-1-3,Reproduction,21,1749492104.865908,1749492118.422264
1573-1-1-3,Reproduction,16,1749492122.43554,1749492135.991896
1573-1-1-3,Reproduction,7,1749492139.5612533,1749492153.1176093
1573-1-1-3,Reproduction,13,1749492156.762036,1749492170.318392
1573-1-1-3,Reproduction,26,1749492173.9189675,1749492187.4753237
1573-1-1-3,Reproduction,19,1749492191.591644,1749492205.148
